"","UNQ_ID","CI","CYAN_Date","CI_Actual","CellCount"
"7521","SLR_01",0,2020-05-25,6.30957344480193e-05,6309.57344480193
"7522","SLR_10",0,2020-05-25,6.30957344480193e-05,6309.57344480193
"7523","SLR_09",0,2020-05-25,6.30957344480193e-05,6309.57344480193
"7524","SLR_08",0,2020-05-25,6.30957344480193e-05,6309.57344480193
"7525","SLR_07",0,2020-05-25,6.30957344480193e-05,6309.57344480193
"7526","SLR_06",81,2020-05-25,0.000591561634175474,59156.1634175474
"7527","SLR_05",0,2020-05-25,6.30957344480193e-05,6309.57344480193
"7528","SLR_04",0,2020-05-25,6.30957344480193e-05,6309.57344480193
"7529","SLR_03",0,2020-05-25,6.30957344480193e-05,6309.57344480193
"7530","SLR_02",0,2020-05-25,6.30957344480193e-05,6309.57344480193
"7531","SLR_01",0,2020-05-26,6.30957344480193e-05,6309.57344480193
"7532","SLR_10",0,2020-05-26,6.30957344480193e-05,6309.57344480193
"7533","SLR_09",0,2020-05-26,6.30957344480193e-05,6309.57344480193
"7534","SLR_08",0,2020-05-26,6.30957344480193e-05,6309.57344480193
"7535","SLR_07",0,2020-05-26,6.30957344480193e-05,6309.57344480193
"7536","SLR_06",0,2020-05-26,6.30957344480193e-05,6309.57344480193
"7537","SLR_05",0,2020-05-26,6.30957344480193e-05,6309.57344480193
"7538","SLR_04",0,2020-05-26,6.30957344480193e-05,6309.57344480193
"7539","SLR_03",0,2020-05-26,6.30957344480193e-05,6309.57344480193
"7540","SLR_02",0,2020-05-26,6.30957344480193e-05,6309.57344480193
"7541","SLR_01",0,2020-05-27,6.30957344480193e-05,6309.57344480193
"7542","SLR_10",0,2020-05-27,6.30957344480193e-05,6309.57344480193
"7543","SLR_09",0,2020-05-27,6.30957344480193e-05,6309.57344480193
"7544","SLR_08",0,2020-05-27,6.30957344480193e-05,6309.57344480193
"7545","SLR_07",0,2020-05-27,6.30957344480193e-05,6309.57344480193
"7546","SLR_06",0,2020-05-27,6.30957344480193e-05,6309.57344480193
"7547","SLR_05",0,2020-05-27,6.30957344480193e-05,6309.57344480193
"7548","SLR_04",0,2020-05-27,6.30957344480193e-05,6309.57344480193
"7549","SLR_03",0,2020-05-27,6.30957344480193e-05,6309.57344480193
"7550","SLR_02",0,2020-05-27,6.30957344480193e-05,6309.57344480193
"7551","SLR_01",0,2020-05-28,6.30957344480193e-05,6309.57344480193
"7552","SLR_10",0,2020-05-28,6.30957344480193e-05,6309.57344480193
"7553","SLR_09",0,2020-05-28,6.30957344480193e-05,6309.57344480193
"7554","SLR_08",0,2020-05-28,6.30957344480193e-05,6309.57344480193
"7555","SLR_07",0,2020-05-28,6.30957344480193e-05,6309.57344480193
